Application Number	12/900,011
Filing or 371 (c) Date	10-07-2010
Application Type	Utility
Examiner Name	FLEMING, FAYE M
Group Art Unit	3616
Confirmation Number	6936
Attorney Docket Number	AAI-70021
Class / Subclass	280/741
First Named Inventor	David W. PARKINSON , North Ogden, UT (US)
Customer Number	-
Status	Patented Case
Status Date	04-04-2012
Location	ELECTRONIC
Location Date	-
Earliest Publication No	US 2012-0086191 A1
Earliest Publication Date	04-12-2012
Patent Number	8,162,350
Issue Date of Patent	04-24-2012
Title of Invention	GAS GENERATOR
